Metadata_gene_name,Metadata_cell_line,correlation,replicate_type,quantile,iterations,cor_method,samples,groups
AKT1,HCC44,0.07290428311969527,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ARID1B,HCC44,0.21251043067241296,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ATF4,HCC44,0.42693654576339213,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
ATP50,HCC44,0.568366622766389,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
AURKB,HCC44,0.3471702559373678,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BCL2,HCC44,0.16137388071925263,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BCL2L2,HCC44,0.07995270401619164,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRAF,HCC44,-0.14810185821425445,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRAF1,HCC44,-0.21248365588799775,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRCA1,HCC44,0.11432799661732254,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
BRD4,HCC44,0.7279827880854814,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CCND1,HCC44,0.3400883019741531,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CCNE1,HCC44,0.614958487381184,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CDK2,HCC44,0.8191882071461609,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CDK4,HCC44,0.3570667472206004,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CHEK2,HCC44,0.3518990801794322,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
COX5B,HCC44,0.1484370848376388,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CSNK1A1,HCC44,0.5453358160179679,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
CTNNB1,HCC44,0.027347348315673852,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
Chr2,HCC44,0.20539876802032325,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
DOT1L,HCC44,0.37404831493522933,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EGFR,HCC44,0.14470583748890964,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
EGLN1,HCC44,0.3917695179460088,replicate,0.95,10,pearson,all,"Metadata_gene_name,Metadata_cell_line"
